Expiry,Maturity,Strike,Vol
1,365,-250,101.93
1,365,-200,98.68
1,365,-150,67.47
1,365,-100,91.29
1,365,-80,52.96
1,365,-60,43.15
1,365,-40,109.35
1,365,-30,41.39
1,365,-20,48.6
1,365,-10,32.88
1,365,0,34.15
1,365,10,36.61
1,365,20,49.07
1,365,30,64.1
1,365,40,65.24
1,365,60,46.19
1,365,80,55.53
1,365,100,56.79
1,365,150,73.66
1,365,200,77.23
1,365,250,85.94
1,365,300,107.27
1,365,350,102.37
1,365,400,86.87
1,365,450,99.14
1,365,500,105.38
1,365,550,93.77
1,365,600,120.2
1,365,650,111.57
1,365,700,117.06
1,365,750,125.26
1,365,800,120.46
1,730,-300,126.21
1,730,-250,104.38
1,730,-200,112.73
1,730,-150,99.54
1,730,-100,73.39
1,730,-80,58.52
1,730,-60,134.1
1,730,-40,82.37
1,730,-30,79.72
1,730,-20,58.62
1,730,-10,43.15
1,730,0,49.53
1,730,10,51.68
1,730,20,55.3
1,730,30,86.66
1,730,40,83.25
1,730,60,67.93
1,730,80,65.28
1,730,100,70.2
1,730,150,87.85
1,730,200,95.33
1,730,250,119.85
1,730,300,106.37
1,730,350,131.85
1,730,400,136.85
1,730,450,152.6
1,730,500,151.74
1,730,550,176.51
1,730,600,127.67
1,730,650,164.48
1,730,700,144.3
1,730,750,140.31
1,1095,-300,127.29
1,1095,-250,137.91
1,1095,-200,88.25
1,1095,-150,93.22
1,1095,-100,83.72
1,1095,-80,80.17
1,1095,-60,98.4
1,1095,-40,73.4
1,1095,-30,78.53
1,1095,-20,56.26
1,1095,-10,52.53
1,1095,0,59.79
1,1095,10,61.76
1,1095,20,55.19
1,1095,30,89.27
1,1095,40,89.63
1,1095,60,96.23
1,1095,80,94.06
1,1095,100,99.67
1,1095,150,93.45
1,1095,200,118.73
1,1095,250,112.1
1,1095,300,141.23
1,1095,350,139.44
1,1095,400,170.43
1,1095,450,155.05
1,1095,500,166.53
1,1095,550,138.49
1,1095,600,190.83
1,1095,650,179.42
1,1095,700,194.2
1,1095,750,157.66
1,1460,-350,154.08
1,1460,-300,141.43
1,1460,-250,139.15
1,1460,-200,131.57
1,1460,-150,105.15
1,1460,-100,105.8
1,1460,-80,117.14
1,1460,-60,111.44
1,1460,-40,100.85
1,1460,-30,65.83
1,1460,-20,59.29
1,1460,-10,67.65
1,1460,0,68.67
1,1460,10,68.2
1,1460,20,70.79
1,1460,30,79.37
1,1460,40,93.87
1,1460,60,115.24
1,1460,80,84.58
1,1460,100,84.54
1,1460,150,119.21
1,1460,200,139.97
1,1460,250,164.91
1,1460,300,130.3
1,1460,350,167.42
1,1460,400,165.98
1,1460,450,184.25
1,1460,500,196.58
1,1460,550,203.91
1,1460,600,164.83
1,1460,650,222.76
1,1460,700,221.34
1,1460,750,157.81
1,1825,-350,160.08
1,1825,-300,138.54
1,1825,-250,131.44
1,1825,-200,135.64
1,1825,-150,129.53
1,1825,-100,115.04
1,1825,-80,118.97
1,1825,-60,112.73
1,1825,-40,73.84
1,1825,-30,75.57
1,1825,-20,74.07
1,1825,-10,69.58
1,1825,0,69.11
1,1825,10,70.99
1,1825,20,71.03
1,1825,30,78.36
1,1825,40,99.19
1,1825,60,114.02
1,1825,80,106.68
1,1825,100,113.35
1,1825,150,137.77
1,1825,200,142.26
1,1825,250,151.76
1,1825,300,129.31
1,1825,350,137.72
1,1825,400,145.97
1,1825,450,179.25
1,1825,500,212.85
1,1825,550,226.75
1,1825,600,173.16
1,1825,650,171.98
1,1825,700,245.52
1,1825,750,192.96
1,2190,-350,151.54
1,2190,-300,127.56
1,2190,-250,145.88
1,2190,-200,137.94
1,2190,-150,123.61
1,2190,-100,103.59
1,2190,-80,106.05
1,2190,-60,135.05
1,2190,-40,96.9
1,2190,-30,84.84
1,2190,-20,77.72
1,2190,-10,69.11
1,2190,0,71.26
1,2190,10,76.42
1,2190,20,66.72
1,2190,30,79.81
1,2190,40,115.96
1,2190,60,120.7
1,2190,80,109.17
1,2190,100,123.16
1,2190,150,129.56
1,2190,200,119.76
1,2190,250,166.03
1,2190,300,165.6
1,2190,350,169.86
1,2190,400,147.85
1,2190,450,208.83
1,2190,500,164.25
1,2190,550,209.84
1,2190,600,198.83
1,2190,650,220.06
1,2190,700,193.35
1,2190,750,191.33
1,2555,-350,139.37
1,2555,-300,148.57
1,2555,-250,108.84
1,2555,-200,149.46
1,2555,-150,111.11
1,2555,-100,116.87
1,2555,-80,129.27
1,2555,-60,123.01
1,2555,-40,98.37
1,2555,-30,86.69
1,2555,-20,71.47
1,2555,-10,77.0
1,2555,0,71.58
1,2555,10,78.75
1,2555,20,78.41
1,2555,30,83.48
1,2555,40,97.96
1,2555,60,127.23
1,2555,80,96.13
1,2555,100,114.48
1,2555,150,129.49
1,2555,200,136.02
1,2555,250,139.13
1,2555,300,140.01
1,2555,350,171.72
1,2555,400,215.88
1,2555,450,211.44
1,2555,500,249.75
1,2555,550,213.35
1,2555,600,235.1
1,2555,650,179.26
1,2555,700,166.89
1,2555,750,251.85
1,2920,-350,139.65
1,2920,-300,144.63
1,2920,-250,132.2
1,2920,-200,123.14
1,2920,-150,151.93
1,2920,-100,104.06
1,2920,-80,104.21
1,2920,-60,106.67
1,2920,-40,103.26
1,2920,-30,82.48
1,2920,-20,75.8
1,2920,-10,75.34
1,2920,0,74.49
1,2920,10,67.51
1,2920,20,76.31
1,2920,30,83.96
1,2920,40,118.33
1,2920,60,110.27
1,2920,80,96.8
1,2920,100,91.93
1,2920,150,130.31
1,2920,200,154.66
1,2920,250,131.15
1,2920,300,160.26
1,2920,350,170.02
1,2920,400,219.16
1,2920,450,220.46
1,2920,500,184.54
1,2920,550,166.49
1,2920,600,174.32
1,2920,650,215.01
1,2920,700,190.64
1,2920,750,204.94
1,3285,-350,148.41
1,3285,-300,156.75
1,3285,-250,128.72
1,3285,-200,149.44
1,3285,-150,107.28
